Time,C1,C2,BR*C1,(1-B)R*C2,Ct
.0000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.0500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.1000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.1500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.2000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.2500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.3000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.3500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.4000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.4500,.18675E-08,.00000E+00,.18675E-08,.00000E+00,.18675E-08
.5000,.21415E-06,.00000E+00,.21415E-06,.00000E+00,.21415E-06
.5500,.61241E-05,.78851E-08,.61241E-05,.78851E-07,.62030E-05
.6000,.82352E-04,.16166E-06,.82352E-04,.16166E-05,.83969E-04
.6500,.62355E-03,.15443E-05,.62355E-03,.15443E-04,.63899E-03
.7000,.30195E-02,.93349E-05,.30195E-02,.93349E-04,.31128E-02
.7500,.10275E-01,.39497E-04,.10275E-01,.39497E-03,.10670E-01
.8000,.26401E-01,.12593E-03,.26401E-01,.12593E-02,.27661E-01
.8500,.54174E-01,.32018E-03,.54174E-01,.32018E-02,.57376E-01
.9000,.92856E-01,.67901E-03,.92856E-01,.67901E-02,.99647E-01
.9500,.13794E+00,.12451E-02,.13794E+00,.12451E-01,.15039E+00
1.0000,.18314E+00,.20327E-02,.18314E+00,.20327E-01,.20347E+00
1.0500,.22303E+00,.30260E-02,.22303E+00,.30260E-01,.25329E+00
1.1000,.25465E+00,.41879E-02,.25465E+00,.41879E-01,.29652E+00
1.1500,.27756E+00,.54735E-02,.27756E+00,.54735E-01,.33229E+00
1.2000,.29302E+00,.68411E-02,.29302E+00,.68411E-01,.36143E+00
1.2500,.30296E+00,.82575E-02,.30296E+00,.82575E-01,.38554E+00
1.3000,.30921E+00,.96994E-02,.30922E+00,.96994E-01,.40621E+00
1.3500,.31322E+00,.11152E-01,.31322E+00,.11152E+00,.42474E+00
1.4000,.31594E+00,.12606E-01,.31594E+00,.12606E+00,.44200E+00
1.4500,.31798E+00,.14058E-01,.31798E+00,.14058E+00,.45856E+00
1.5000,.31966E+00,.15504E-01,.31966E+00,.15504E+00,.47470E+00
1.5500,.32117E+00,.16944E-01,.32117E+00,.16944E+00,.49061E+00
1.6000,.32259E+00,.18377E-01,.32259E+00,.18377E+00,.50637E+00
1.6500,.32398E+00,.19803E-01,.32398E+00,.19803E+00,.52200E+00
1.7000,.32533E+00,.21221E-01,.32533E+00,.21221E+00,.53754E+00
1.7500,.32667E+00,.22632E-01,.32667E+00,.22632E+00,.55299E+00
1.8000,.32800E+00,.24035E-01,.32800E+00,.24035E+00,.56835E+00
1.8500,.32932E+00,.25431E-01,.32932E+00,.25431E+00,.58362E+00
1.9000,.33062E+00,.26819E-01,.33062E+00,.26819E+00,.59882E+00
1.9500,.33192E+00,.28201E-01,.33192E+00,.28201E+00,.61393E+00
2.0000,.33321E+00,.29575E-01,.33321E+00,.29575E+00,.62895E+00
2.0500,.33448E+00,.30941E-01,.33448E+00,.30941E+00,.64389E+00
2.1000,.33575E+00,.32301E-01,.33575E+00,.32301E+00,.65876E+00
2.1500,.33701E+00,.33653E-01,.33701E+00,.33653E+00,.67353E+00
2.2000,.33826E+00,.34998E-01,.33826E+00,.34998E+00,.68823E+00
2.2500,.33949E+00,.36335E-01,.33949E+00,.36335E+00,.70285E+00
2.3000,.34072E+00,.37666E-01,.34072E+00,.37666E+00,.71738E+00
2.3500,.34194E+00,.38989E-01,.34194E+00,.38989E+00,.73184E+00
2.4000,.34316E+00,.40306E-01,.34316E+00,.40306E+00,.74621E+00
2.4500,.34436E+00,.41615E-01,.34436E+00,.41615E+00,.76051E+00
2.5000,.34555E+00,.42917E-01,.34555E+00,.42917E+00,.77472E+00
2.5500,.34673E+00,.44212E-01,.34673E+00,.44212E+00,.78885E+00
2.6000,.34783E+00,.45500E-01,.34783E+00,.45500E+00,.80283E+00
2.6500,.34845E+00,.46779E-01,.34845E+00,.46779E+00,.81625E+00
2.7000,.34722E+00,.48046E-01,.34722E+00,.48046E+00,.82767E+00
2.7500,.34111E+00,.49283E-01,.34111E+00,.49283E+00,.83394E+00
2.8000,.32612E+00,.50457E-01,.32612E+00,.50457E+00,.83069E+00
2.8500,.29948E+00,.51516E-01,.29948E+00,.51516E+00,.81464E+00
2.9000,.26192E+00,.52403E-01,.26192E+00,.52403E+00,.78596E+00
2.9500,.21795E+00,.53077E-01,.21795E+00,.53077E+00,.74872E+00
3.0000,.17386E+00,.53522E-01,.17386E+00,.53522E+00,.70908E+00
3.0500,.13507E+00,.53755E-01,.13507E+00,.53755E+00,.67261E+00
3.1000,.10454E+00,.53812E-01,.10454E+00,.53812E+00,.64266E+00
3.1500,.82712E-01,.53739E-01,.82712E-01,.53739E+00,.62010E+00
3.2000,.68319E-01,.53578E-01,.68319E-01,.53578E+00,.60409E+00
3.2500,.59445E-01,.53360E-01,.59445E-01,.53360E+00,.59305E+00
3.3000,.54247E-01,.53111E-01,.54247E-01,.53111E+00,.58536E+00
3.3500,.51293E-01,.52844E-01,.51293E-01,.52844E+00,.57974E+00
3.4000,.49612E-01,.52569E-01,.49612E-01,.52569E+00,.57530E+00
3.4500,.48609E-01,.52290E-01,.48609E-01,.52290E+00,.57151E+00
3.5000,.47950E-01,.52010E-01,.47950E-01,.52010E+00,.56805E+00
3.5500,.47458E-01,.51730E-01,.47458E-01,.51730E+00,.56476E+00
3.6000,.47043E-01,.51450E-01,.47043E-01,.51450E+00,.56154E+00
3.6500,.46665E-01,.51171E-01,.46665E-01,.51171E+00,.55838E+00
3.7000,.46303E-01,.50893E-01,.46303E-01,.50893E+00,.55524E+00
3.7500,.45951E-01,.50616E-01,.45951E-01,.50616E+00,.55212E+00
3.8000,.45603E-01,.50341E-01,.45603E-01,.50341E+00,.54901E+00
3.8500,.45258E-01,.50066E-01,.45258E-01,.50066E+00,.54592E+00
3.9000,.44917E-01,.49792E-01,.44917E-01,.49792E+00,.54284E+00
3.9500,.44578E-01,.49519E-01,.44578E-01,.49519E+00,.53977E+00
4.0000,.44241E-01,.49247E-01,.44241E-01,.49247E+00,.53671E+00
4.0500,.43907E-01,.48977E-01,.43907E-01,.48977E+00,.53367E+00
4.1000,.43576E-01,.48707E-01,.43576E-01,.48707E+00,.53064E+00
4.1500,.43247E-01,.48438E-01,.43247E-01,.48438E+00,.52763E+00
4.2000,.42920E-01,.48171E-01,.42920E-01,.48171E+00,.52463E+00
4.2500,.42596E-01,.47904E-01,.42596E-01,.47904E+00,.52164E+00
4.3000,.42274E-01,.47638E-01,.42274E-01,.47638E+00,.51866E+00
4.3500,.41954E-01,.47374E-01,.41954E-01,.47374E+00,.51569E+00
4.4000,.41637E-01,.47110E-01,.41637E-01,.47110E+00,.51274E+00
4.4500,.41322E-01,.46848E-01,.41322E-01,.46848E+00,.50980E+00
4.5000,.41010E-01,.46587E-01,.41010E-01,.46587E+00,.50688E+00
4.5500,.40700E-01,.46326E-01,.40700E-01,.46326E+00,.50396E+00
4.6000,.40392E-01,.46067E-01,.40392E-01,.46067E+00,.50106E+00
4.6500,.40086E-01,.45809E-01,.40086E-01,.45809E+00,.49818E+00
4.7000,.39782E-01,.45552E-01,.39782E-01,.45552E+00,.49530E+00
4.7500,.39481E-01,.45296E-01,.39481E-01,.45296E+00,.49244E+00
4.8000,.39182E-01,.45041E-01,.39182E-01,.45041E+00,.48959E+00
4.8500,.38885E-01,.44787E-01,.38885E-01,.44787E+00,.48675E+00
4.9000,.38591E-01,.44534E-01,.38591E-01,.44534E+00,.48393E+00
4.9500,.38298E-01,.44282E-01,.38298E-01,.44282E+00,.48112E+00
5.0000,.38008E-01,.44031E-01,.38008E-01,.44031E+00,.47832E+00
5.0500,.37719E-01,.43781E-01,.37719E-01,.43781E+00,.47553E+00
5.1000,.37433E-01,.43533E-01,.37433E-01,.43533E+00,.47276E+00
5.1500,.37149E-01,.43285E-01,.37149E-01,.43285E+00,.47000E+00
5.2000,.36867E-01,.43039E-01,.36868E-01,.43039E+00,.46725E+00
5.2500,.36588E-01,.42793E-01,.36588E-01,.42793E+00,.46452E+00
5.3000,.36310E-01,.42549E-01,.36310E-01,.42549E+00,.46180E+00
5.3500,.36034E-01,.42305E-01,.36034E-01,.42305E+00,.45909E+00
5.4000,.35761E-01,.42063E-01,.35761E-01,.42063E+00,.45639E+00
5.4500,.35489E-01,.41822E-01,.35489E-01,.41822E+00,.45370E+00
5.5000,.35219E-01,.41581E-01,.35219E-01,.41581E+00,.45103E+00
5.5500,.34951E-01,.41342E-01,.34952E-01,.41342E+00,.44837E+00
5.6000,.34686E-01,.41104E-01,.34686E-01,.41104E+00,.44573E+00
5.6500,.34422E-01,.40867E-01,.34422E-01,.40867E+00,.44309E+00
5.7000,.34160E-01,.40631E-01,.34160E-01,.40631E+00,.44047E+00
5.7500,.33900E-01,.40396E-01,.33900E-01,.40396E+00,.43786E+00
5.8000,.33642E-01,.40162E-01,.33642E-01,.40162E+00,.43526E+00
5.8500,.33386E-01,.39929E-01,.33386E-01,.39929E+00,.43268E+00
5.9000,.33132E-01,.39697E-01,.33132E-01,.39697E+00,.43010E+00
5.9500,.32880E-01,.39466E-01,.32880E-01,.39466E+00,.42754E+00